于光舜	62.5	81.3	143.8
于志光	22	79.9	101.9
于光逸	22	82.2	104.2
于光朔	25	71.3	96.3
于光纺	65	71.3	136.3
于康光	23.5	70.4	93.9
于光菲	23	75.7	98.7
于光顺	62.5	81.3	143.8
于光思	64	82.0	146.0
于光飞	64	82.0	146.0
于光艺	25.5	70.8	96.3
于光丝	62.5	81.3	143.8
于琪光	21	74.6	95.6
于光家	25	71.3	96.3
于术光	23.5	70.4	93.9
于柔光	62	87.6	149.6
于光芬	25	71.3	96.3
于光帅	64	82.0	146.0
于光宜	24	72.3	96.3
于光瀚	65	75.0	140.0
于光君	22	81.3	103.3
于光纷	65	71.3	136.3
于光移	25.5	70.1	95.6
于光濂	62	70.5	132.5
于光澧	62	70.5	132.5
于鸣光	62	79.4	141.4
于光双	64	72.6	136.6
于绵光	62	79.4	141.4
于俊光	22	87.6	109.6
于炀光	21	74.6	95.6
于光序	62	81.3	143.3
于光峰	65	71.3	136.3
于光锋	62	82.2	144.2
于光风	64	82.0	146.0
于光泰	24	82.0	106.0
于涓光	63.5	70.4	133.9
于求光	22	77.3	99.3
于楚光	21	74.6	95.6
于德光	21	87.5	108.5
于光茵	22.5	81.3	103.8
于光聚	63	75.7	138.7
于奎光	22	87.6	109.6
于焘光	22	85.5	107.5
于细光	63.5	70.4	133.9
于方光	62	81.5	143.5
于锋光	61	87.5	148.5
于溱光	62	79.4	141.4
于光益	25	71.3	96.3
于光义	23	66.6	89.6
于光旨	22	77.3	99.3
于光毅	22	82.2	104.2
于光意	23	66.6	89.6
于光菊	23	75.7	98.7
于光亦	22	77.3	99.3
于浮光	63.5	70.4	133.9
于光堂	25.5	70.1	95.6
于光索	65	71.3	136.3
于弘光	61	77.0	138.0
于光棠	22.5	81.3	103.8
于光经	23	66.6	89.6
于家光	23	79.6	102.6
于沧光	62	79.4	141.4
于淦光	60.5	91.3	151.8
于光章	25.5	70.1	95.6
于光锁	64	72.6	136.6
于光忠	24	72.3	96.3
于光滔	63	75.7	138.7
于光涛	64	72.6	136.6
于绚光	60.5	91.3	151.8
于光桃	25	71.3	96.3
于民光	61	77.0	138.0
于光篇	22	82.2	104.2
于冠光	22	87.6	109.6
于光宪	62	74.2	136.2
于光腾	25	75.0	100.0
于光展	25	71.3	96.3
于光穗	62	70.5	132.5
于光钧	62.5	81.3	143.8
于光发	62.5	81.3	143.8
于佳光	22	85.6	107.6
于珺光	20.5	91.3	111.8
于功光	21	77.0	98.0
于簦光	22	85.5	107.5
于光帆	62	77.3	139.3
于光素	65	71.3	136.3
于光天	23	76.3	99.3
于迅光	23	79.6	102.6
于光珂	25	71.3	96.3
于光闲	62.5	81.3	143.8
于光凡	63	69.7	132.7
于光瀛	65	75.0	140.0
于光耀	25	75.0	100.0
于种光	22	79.4	101.4
于统光	20.5	91.3	111.8
于光坊	22	81.3	103.3
于光芳	25	71.3	96.3
于凯光	20.5	91.3	111.8
于昭光	22	87.6	109.6
于策光	20.5	91.3	111.8
于光光	22	77.3	99.3
于蔡光	22	69.0	91.0
于玉光	21	77.0	98.0
于达光	22	72.8	94.8
于光广	22	82.2	104.2
于光中	23	76.3	99.3
于光濠	64	72.6	136.6
于滔光	62	79.4	141.4
于墉光	22	79.4	101.4
于穗光	62	69.0	131.0
于光潘	62	74.2	136.2
于光菩	23	75.7	98.7
于昀光	22	85.6	107.6
于光献	25	75.0	100.0
于光圭	22	77.3	99.3
于沛光	62	85.6	147.6
于光先	62	77.3	139.3
于欣光	22	85.6	107.6
于军光	22	87.6	109.6
于力光	20.5	91.4	111.9
于光普	62.5	81.3	143.8
于光勇	24	82.0	106.0
于献光	23	82.8	105.8
于光鹏	64	74.0	138.0
于汝光	62	79.9	141.9
于桢光	21	74.6	95.6
于光朋	62	81.3	143.3
于苓光	23.5	70.4	93.9
于光珺	22.5	81.3	103.8
于光澎	62	74.2	136.2
于光业	23	66.6	89.6
于涵光	60.5	91.3	151.8
于光兴	62	82.2	144.2
于光沛	64	72.3	136.3
于光蔼	22.5	78.4	100.9
于安光	22	77.3	99.3
于恒光	63	79.6	142.6
于建光	22	87.6	109.6
于光培	25.5	70.1	95.6
于李光	22	79.9	101.9
于振光	23.5	70.4	93.9
于强光	23.5	70.4	93.9
于智光	20.5	91.3	111.8
于光种	23	75.7	98.7
于珑光	23.5	78.6	102.1
于光丰	24	72.6	96.6
于越光	20.5	91.3	111.8
于章光	23.5	70.4	93.9
于向光	62	77.3	139.3
于立光	21	77.0	98.0
于致光	22	87.6	109.6
于嘉光	22	79.4	101.4
于绫光	22	79.4	101.4
于荐光	22	78.1	100.1
于锐光	61	87.5	148.5
于谊光	21	87.5	108.5
于序光	62	79.9	141.9
于溓光	23	79.8	102.8
于雨光	62	85.6	147.6
于濠光	62	85.5	147.5
于光桂	25	71.3	96.3
于世光	61	77.0	138.0
于稀光	20.5	91.3	111.8
于传光	21	74.6	95.6
于昂光	22	85.6	107.6
