于博沂	93	84.9	177.9
于博颐	63.5	81.4	144.9
于浩阳	60.5	80.4	140.9
于浩洋	92	88.7	180.7
于诗语	73.5	81.4	154.9
于进然	64.5	76.7	141.2
于凡磊	60.5	88.7	149.2
于博逸	63.5	81.4	144.9
于梓函	76	66.5	142.5
于博艺	75	89.5	164.5
于博以	63.5	80.5	144.0
于博易	61	84.9	145.9
于观杰	64.5	73.4	137.9
于博诣	62	86.9	148.9
于博谊	78.5	81.4	159.9
于博翼	96	84.9	180.9
于春来	63.5	71.1	134.6
于艺雅	60	86.6	146.6
于博毅	78.5	81.4	159.9
于博义	77	86.9	163.9
于博忆	61	89.8	150.8
于博溢	95	87.7	182.7
于博益	60	87.2	147.2
于欣冉	20	96.2	116.2
于舞洋	95	78.2	173.2
于浩博	92	75.8	167.8
于博引	63	84.0	147.0
于博尹	63	84.0	147.0
于欣然	71	83.8	154.8
于启清	75	75.8	150.8
于春雷	95	81.1	176.1
于一滔	62	83.9	145.9
于梓郗	77	75.2	152.2
于伊诺	22	74.2	96.2
于山彤	20	82.1	102.1
于欣蕊	63	87.9	150.9
于春丽	60.5	79.1	139.6
于博尧	77	87.3	164.3
于松然	71	83.5	154.5
于博一	60	97.1	157.1
于贝尔	62	80.7	142.7
于王右	22	75.3	97.3
于博也	62	94.9	156.9
于欣瑞	70	88.1	158.1
于博叶	63.5	81.4	144.9
于晔然	62.5	76.9	139.4
于慧明	93	78.8	171.8
于慧鸣	94	87.8	181.8
于静贤	72	74.0	146.0
于庆源	77	87.8	164.8
于卿颜	61	81.5	142.5
于卿砚	20	75.8	95.8
于蔓蓉	62	72.2	134.2
于新莹	70.5	88.5	159.0
于涵桂	75	87.2	162.2
于淼然	97	87.3	184.3
于盛邦	95	86.3	181.3
于卿彦	61	75.1	136.1
于宏康	77.5	79.4	156.9
于博仂	63	84.0	147.0
于慨然	74.5	76.7	151.2
于英志	20.5	83.2	103.7
于永川	96.5	85.6	182.1
于友博	64	76.8	140.8
于英芝	60	88.7	148.7
于琨冉	20.5	91.3	111.8
于涵耀	60	93.9	153.9
于盈颖	77	79.5	156.5
于富玲	60	87.2	147.2
于英智	20	75.8	95.8
于以川	61.5	85.6	147.1
于圻博	63	65.7	128.7
于夏宸	61	83.6	144.6
于炼涵	62	87.4	149.4
于文琪	79.5	75.1	154.6
于博亦	60.5	91.3	151.8
于梦茜	64	79.0	143.0
于荻然	72	87.4	159.4
于淼淼	94	87.3	181.3
于奕钦	70	89.5	159.5
于若葸	63	75.4	138.4
于兰景	62	82.6	144.6
于寻博	62	87.3	149.3
于若萱	63	75.4	138.4
于柯庭	21	68.8	89.8
于珀杰	75	88.8	163.8
于银芬	73	78.2	151.2
于夏兰	20	87.1	107.1
于梓恒	75	88.7	163.7
于苗苗	92	80.4	172.4
于银菲	71.5	82.0	153.5
于会银	98.5	81.4	179.9
于梓鸿	75.5	80.4	155.9
于宜庭	20.5	89.0	109.5
于晨兰	72	80.9	152.9
于忠然	61	83.8	144.8
于伯博	95	65.7	160.7
于研然	70	89.5	159.5
于昌共	72	85.6	157.6
于玉瑶	22	80.5	102.5
于然方	98	84.0	182.0
于武江	94	94.0	188.0
于然帆	95.5	91.3	186.8
于丙茂	24	75.9	99.9
于雅媛	22	87.3	109.3
于彬然	70	75.8	145.8
于玉燕	21	86.6	107.6
于励舒	63	80.8	143.8
于萌溪	76.5	82.0	158.5
于大瑜	63.5	78.0	141.5
于乐乐	22	81.4	103.4
于致莹	22	79.6	101.6
于然飞	95	94.4	189.4
于然非	96	84.9	180.9
于子哲	60	94.9	154.9
于书缘	62	83.1	145.1
于妍然	98	65.7	163.7
于诗颖	71	89.6	160.6
于承璇	63.5	78.2	141.7
于玉雪	79	75.9	154.9
于然峰	95	87.2	182.2
于陪丽	64	75.6	139.6
于凡博	94	92.7	186.7
于雨翔	61	83.8	144.8
于晋博	60	88.8	148.8
